Name,Latitude,Longitude
Dehradun,30.3165,78.0322
Rishikesh,30.0868,78.2676
Haridwar,29.9457,78.1642
Nainital,29.3803,79.4541
Mussoorie,30.4550,78.0692
Kedarnath,30.7346,79.0664
Badrinath,30.7425,79.4936
Jim Corbett National Park,29.5394,78.7715
Valley of Flowers,30.7271,79.6050
Auli,30.5310,79.5692
Gangotri,30.9910,78.9350
Yamunotri,30.9863,78.4610
Almora,29.6228,79.6693
Ranikhet,29.6406,79.4339
Lansdowne,29.8378,78.6520
Chamoli,30.4302,79.2996
Pauri,30.1478,78.7629
Pithoragarh,29.6097,80.2253
Rudraprayag,30.2833,79.0500
Uttarkashi,30.7278,78.4348
Chopta,30.4709,79.1927
Dhanaulti,30.4330,78.2043
Kausani,29.8464,79.6059
Lohaghat,29.3622,80.0602
Mukteshwar,29.4639,79.6587
Nainital Wildlife Sanctuary,29.3659,79.4641
Garjiya Devi Temple,29.3991,79.5033
Binsar Wildlife Sanctuary,29.6516,79.7782
Baijnath Temple,29.4719,79.7969
Bhimtal,29.3488,79.5531
Sattal,29.3406,79.4987
Jageshwar,29.6339,79.8502
Munsiyari,30.0708,80.2345
Chakrata,30.6442,77.8704
Tarkeshwar Mahadev Temple,30.2353,78.2689
Patal Bhubaneswar Cave Temple,29.8624,80.2201
Bhowali,29.3853,79.5119
Ranikhet Army Cantonment,29.6456,79.4303
Tungnath Temple,30.4909,79.2095
Hemkund Sahib,30.7417,79.5940
Gopeshwar,30.4395,79.2287
Devprayag,30.1404,78.5955
Gauchar,30.2683,79.2025
Joshimath,30.5520,79.5670
Srinagar,30.2264,78.7750
Tehri Dam,30.3853,78.4830
Khirsu,30.2736,78.7431
Panch Kedar Temples,30.5648,79.3869
Madhyamaheshwar Temple,30.5440,79.2229
Ukhimath,30.5407,79.2008
